Compare;Size;Assignment
0;1;0
1;2;4
4;3;11
9;4;21
12;5;28
13;6;32
20;7;45
25;8;55
42;9;83
51;10;99
70;11;130
93;12;167
94;13;171
95;14;175
110;15;200
135;16;240
162;17;283
167;18;293
200;19;345
215;20;370
220;21;380
249;22;426
282;23;478
295;24;500
338;25;567
359;26;601
366;27;614
407;28;678
428;29;712
431;30;719
438;31;732
477;32;793
534;33;881
547;34;903
606;35;994
651;36;1064
720;37;1170
789;38;1276
828;39;1337
835;40;1350
856;41;1384
891;42;1439
910;43;1470
977;44;1573
1066;45;1709
1131;46;1809
1202;47;1918
1237;48;1973
1240;49;1980
1329;50;2116
1378;51;2192
1459;52;2316
1512;53;2398
1537;54;2438
1568;55;2487
1601;56;2539
1624;57;2576
1639;58;2601
1704;59;2701
1751;60;2774
1784;61;2826
1837;62;2908
1892;63;2993
1929;64;3051
1940;65;3070
2019;66;3191
2082;67;3288
2195;68;3460
2284;69;3596
2331;70;3669
2342;71;3688
2351;72;3704
2450;73;3855
2499;74;3931
2556;75;4019
2581;76;4059
2640;77;4150
2787;78;4373
2816;79;4419
2951;80;4624
3068;81;4802
3151;82;4929
3244;83;5071
3299;84;5156
3314;85;5181
3363;86;5257
3440;87;5375
3577;88;5583
3700;89;5770
3737;90;5828
3842;91;5988
3961;92;6169
4144;93;6446
4181;94;6504
4280;95;6655
4445;96;6905
4602;97;7143
4607;98;7153
4618;99;7172
4673;100;7257
4808;101;7462
4863;102;7547
4882;103;7578
4897;104;7603
5042;105;7823
5207;106;8073
5240;107;8125
5339;108;8276
5488;109;8502
5593;110;8662
5768;111;8927
5805;112;8985
6028;113;9322
6031;114;9329
6138;115;9492
6163;116;9532
6326;117;9779
6447;118;9963
6532;119;10093
6679;120;10316
6910;121;10665
7043;122;10867
7284;123;11231
7425;124;11445
7456;125;11494
7551;126;11639
7684;127;11841
7857;128;12103
8078;129;12437
8315;130;12795
8554;131;13156
8689;132;13361
8754;133;13461
8963;134;13777
9054;135;13916
9257;136;14223
9258;137;14227
9277;138;14258
9462;139;14538
9501;140;14599
9684;141;14876
9687;142;14883
9892;143;15193
9893;144;15197
10038;145;15417
10285;146;15790
10538;147;16172
10811;148;16584
11092;149;17008
11153;150;17102
11222;151;17208
11241;152;17239
11252;153;17258
11439;154;17541
11474;155;17596
11641;156;17849
11760;157;18030
12005;158;18400
12094;159;18536
12339;160;18906
12520;161;19180
12807;162;19613
12914;163;19776
13001;164;19909
13218;165;20237
13547;166;20733
13590;167;20800
13791;168;21104
13820;169;21150
13825;170;21160
13828;171;21167
14031;172;21474
14294;173;21871
14609;174;22346
14834;175;22686
15177;176;23203
15186;177;23219
15361;178;23484
15646;179;23914
15929;180;24341
16156;181;24684
16251;182;24829
16532;183;25253
16823;184;25692
17034;185;26011
17259;186;26351
17344;187;26481
17439;188;26626
17488;189;26702
17733;190;27072
17926;191;27364
18035;192;27530
18256;193;27864
18441;194;28144
18720;195;28565
19037;196;29043
19042;197;29053
19093;198;29132
19368;199;29547
19699;200;30046
19942;201;30413
19987;202;30483
20294;203;30946
20685;204;31535
20956;205;31944
20969;206;31966
21374;207;32576
21585;208;32895
21758;209;33157
22175;210;33785
22354;211;34056
22371;212;34084
22530;213;34325
22661;214;34524
22924;215;34921
23341;216;35549
23534;217;35841
23659;218;36031
23998;219;36542
24345;220;37065
24366;221;37099
24787;222;37733
24964;223;38001
25357;224;38593
25476;225;38774
25729;226;39156
26110;227;39730
26433;228;40217
26706;229;40629
26911;230;40939
27298;231;41522
27633;232;42027
27976;233;42544
28121;234;42764
28368;235;43137
28439;236;43246
28818;237;43817
29145;238;44310
29612;239;45013
29957;240;45533
30168;241;45852
30359;242;46141
30800;243;46805
31005;244;47115
31374;245;47671
31491;246;47849
31892;247;48453
32225;248;48955
32302;249;49073
32757;250;49758
33102;251;50278
33423;252;50762
33734;253;51231
33749;254;51256
34246;255;52004
34437;256;52293
34588;257;52522
35001;258;53144
35364;259;53691
35795;260;54340
35992;261;54638
36145;262;54870
36262;263;55048
36423;264;55292
36608;265;55572
36741;266;55774
36820;267;55895
36911;268;56034
37286;269;56599
37351;270;56699
37638;271;57132
38127;272;57868
38454;273;58361
38951;274;59109
39494;275;59926
39991;276;60674
40282;277;61113
40813;278;61912
41068;279;62297
41551;280;63024
41924;281;63586
42215;282;64025
42724;283;64791
43031;284;65254
43196;285;65504
43327;286;65703
43380;287;65785
43511;288;65984
44028;289;66762
44291;290;67159
44590;291;67610
44825;292;67965
45132;293;68428
45275;294;68645
45304;295;68691
45527;296;69028
45832;297;69488
45915;298;69615
46382;299;70318
46685;300;70775
47180;301;71520
47601;302;72154
47680;303;72275
48195;304;73050
48718;305;73837
49103;306;74417
49354;307;74796
49931;308;75664
50022;309;75803
50375;310;76335
50426;311;76414
50621;312;76709
50918;313;77157
51241;314;77644
51642;315;78248
51999;316;78786
52338;317;79297
52917;318;80168
53004;319;80301
53507;320;81058
53954;321;81731
54091;322;81939
54470;323;82510
55061;324;83399
55100;325;83460
55621;326;84244
55890;327;84650
56305;328;85275
56894;329;86161
57421;330;86954
57916;331;87699
58497;332;88573
58886;333;89159
59527;334;90123
59656;335;90319
59949;336;90761
60342;337;91353
60407;338;91453
60474;339;91556
60657;340;91833
60794;341;92041
60867;342;92153
60958;343;92292
61387;344;92938
61606;345;93269
61607;346;93273
61844;347;93631
61955;348;93800
62440;349;94530
62899;350;95221
63098;351;95522
63343;352;95892
63954;353;96811
64303;354;97337
64704;355;97941
64969;356;98341
64996;357;98384
65497;358;99138
66196;359;100189
66667;360;100898
67120;361;101580
67593;362;102292
68050;363;102980
68389;364;103491
68660;365;103900
68981;366;104384
69498;367;105162
69683;368;105442
70146;369;106139
70529;370;106716
70808;371;107137
71513;372;108197
71636;373;108384
72269;374;109336
72774;375;110096
72975;376;110400
73442;377;111103
74009;378;111956
74476;379;112659
74559;380;112786
74742;381;113063
74787;382;113133
75134;383;113656
75797;384;114653
76522;385;115743
76721;386;116044
76934;387;116366
77675;388;117480
78042;389;118033
78571;390;118829
78780;391;119145
79423;392;120112
79650;393;120455
80177;394;121248
80284;395;121411
80801;396;122189
81226;397;122829
81825;398;123730
82204;399;124301
82809;400;125211
83068;401;125602
83549;402;126326
84050;403;127080
84381;404;127579
84834;405;128261
84897;406;128358
85344;407;129031
85811;408;129734
85980;409;129990
86797;410;131218
87114;411;131696
87595;412;132420
87962;413;132973
88653;414;134012
88842;415;134298
89073;416;134647
89900;417;135890
89963;418;135987
90610;419;136960
90855;420;137330
91062;421;137643
91563;422;138397
91914;423;138926
92233;424;139407
93014;425;140581
93415;426;141185
93624;427;141501
93899;428;141916
94274;429;142481
94903;430;143427
95702;431;144628
95991;432;145064
96396;433;145674
97055;434;146665
97514;435;147356
97889;436;147921
98592;437;148978
98785;438;149270
98996;439;149589
99589;440;150481
99894;441;150941
100487;442;151833
101126;443;152794
101133;444;152807
101708;445;153672
102415;446;154735
103282;447;156038
103579;448;156486
104108;449;157282
104217;450;157448
104534;451;157926
104819;452;158356
105160;453;158870
105529;454;159426
105808;455;159847
106137;456;160343
106192;457;160428
106343;458;160657
106514;459;160916
107051;460;161724
107358;461;162187
107529;462;162446
107806;463;162864
107873;464;162967
108134;465;163361
109015;466;164685
109906;467;166024
109977;468;166133
110302;469;166623
111023;470;167707
111064;471;167771
111633;472;168627
112396;473;169774
112587;474;170063
113462;475;171378
113733;476;171787
113856;477;171974
114637;478;173148
115356;479;174229
115943;480;175112
116606;481;176109
116743;482;176317
117226;483;177044
117525;484;177495
118224;485;178546
118351;486;178739
118920;487;179595
119629;488;180661
120328;489;181712
120931;490;182619
121318;491;183202
122219;492;184556
122744;493;185346
122815;494;185455
123310;495;186200
123323;496;186222
123894;497;187081
124599;498;188141
125592;499;189633
126473;500;190957
127006;501;191759
127311;502;192219
128236;503;193609
128381;504;193829
129190;505;195045
129903;506;196117
130464;507;196961
130989;508;197751
131138;509;197977
132059;510;199361
132396;511;199869
132927;512;200668
133702;513;201833
134195;514;202575
135094;515;203926
136023;516;205322
136172;517;205548
137165;518;207040
137728;519;207887
137939;520;208206
138248;521;208672
138379;522;208871
138844;523;209571
139061;524;209899
139310;525;210275
139805;526;211020
139918;527;211192
139933;528;211217
140458;529;212007
140615;530;212245
141674;531;213836
142295;532;214770
143082;533;215953
143655;534;216815
144256;535;217719
144263;536;217732
144270;537;217745
145155;538;219075
145512;539;219613
