year,CO2 [ppm],seasonally adjusted [ppm],fit [ppm],seasonally adjusted fit [ppm],CO2 filled [ppm],seasonally adjusted filled [ppm]
1958.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
1958.0833333333333,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
1958.1666666666667,315.7,314.43,316.19,314.9,315.7,314.43
1958.25,317.45,315.15,317.3,314.98,317.45,315.15
1958.3333333333333,317.51,314.72,317.85,315.06,317.51,314.72
1958.4166666666667,-99.99,-99.99,317.24,315.14,317.24,315.14
1958.5,315.86,315.18,315.87,315.22,315.86,315.18
1958.5833333333333,314.93,316.18,314.0,315.29,314.93,316.18
1958.6666666666667,313.21,316.08,312.46,315.35,313.21,316.08
1958.75,-99.99,-99.99,312.44,315.41,312.44,315.41
1958.8333333333333,313.33,315.2,313.62,315.46,313.33,315.2
1958.9166666666667,314.67,315.43,314.77,315.52,314.67,315.43
1959.0,315.58,315.55,315.61,315.57,315.58,315.55
1959.0833333333333,316.48,315.87,316.26,315.64,316.48,315.87
1959.1666666666667,316.65,315.37,316.99,315.7,316.65,315.37
1959.25,317.72,315.41,318.1,315.77,317.72,315.41
1959.3333333333333,318.29,315.49,318.65,315.85,318.29,315.49
1959.4166666666667,318.15,316.03,318.04,315.94,318.15,316.03
1959.5,316.54,315.86,316.69,316.03,316.54,315.86
1959.5833333333333,314.8,316.06,314.83,316.13,314.8,316.06
1959.6666666666667,313.84,316.72,313.32,316.22,313.84,316.72
1959.75,313.33,316.32,313.33,316.31,313.33,316.32
1959.8333333333333,314.81,316.68,314.54,316.4,314.81,316.68
1959.9166666666667,315.58,316.35,315.73,316.48,315.58,316.35
1960.0,316.43,316.4,316.6,316.56,316.43,316.4
1960.0833333333333,316.98,316.36,317.27,316.64,316.98,316.36
1960.1666666666667,317.58,316.27,318.04,316.72,317.58,316.27
1960.25,319.03,316.69,319.15,316.8,319.03,316.69
1960.3333333333333,320.04,317.23,319.67,316.87,320.04,317.23
1960.4166666666667,319.59,317.48,319.02,316.93,319.59,317.48
1960.5,318.18,317.52,317.61,316.98,318.18,317.52
1960.5833333333333,315.9,317.19,315.7,317.02,315.9,317.19
1960.6666666666667,314.17,317.07,314.13,317.05,314.17,317.07
1960.75,313.83,316.83,314.09,317.08,313.83,316.83
1960.8333333333333,315.0,316.88,315.26,317.11,315.0,316.88
1960.9166666666667,316.19,316.96,316.4,317.15,316.19,316.96
1961.0,316.9,316.87,317.25,317.2,316.9,316.87
1961.0833333333333,317.7,317.08,317.9,317.27,317.7,317.08
1961.1666666666667,318.54,317.25,318.64,317.34,318.54,317.25
1961.25,319.48,317.15,319.76,317.42,319.48,317.15
1961.3333333333333,320.58,317.76,320.32,317.5,320.58,317.76
1961.4166666666667,319.77,317.64,319.71,317.59,319.77,317.64
1961.5,318.57,317.88,318.34,317.68,318.57,317.88
1961.5833333333333,316.79,318.06,316.47,317.77,316.79,318.06
1961.6666666666667,314.99,317.89,314.93,317.85,314.99,317.89
1961.75,315.31,318.32,314.92,317.92,315.31,318.32
1961.8333333333333,316.1,317.99,316.13,317.99,316.1,317.99
1961.9166666666667,317.01,317.79,317.3,318.06,317.01,317.79
1962.0,317.94,317.91,318.17,318.13,317.94,317.91
1962.0833333333333,318.55,317.93,318.83,318.2,318.55,317.93
1962.1666666666667,319.68,318.39,319.57,318.26,319.68,318.39
1962.25,320.57,318.24,320.68,318.33,320.57,318.24
1962.3333333333333,321.02,318.19,321.22,318.39,321.02,318.19
1962.4166666666667,320.62,318.48,320.58,318.45,320.62,318.48
1962.5,319.61,318.92,319.17,318.51,319.61,318.92
1962.5833333333333,317.4,318.68,317.25,318.56,317.4,318.68
1962.6666666666667,316.25,319.16,315.67,318.6,316.25,319.16
1962.75,315.42,318.44,315.63,318.64,315.42,318.44
1962.8333333333333,316.69,318.58,316.81,318.68,316.69,318.58
1962.9166666666667,317.7,318.47,317.96,318.72,317.7,318.47
1963.0,318.74,318.71,318.81,318.77,318.74,318.71
1963.0833333333333,319.07,318.44,319.45,318.81,319.07,318.44
1963.1666666666667,319.86,318.56,320.17,318.86,319.86,318.56
1963.25,321.38,319.04,321.27,318.91,321.38,319.04
1963.3333333333333,322.25,319.41,321.8,318.96,322.25,319.41
1963.4166666666667,321.48,319.33,321.15,319.01,321.48,319.33
1963.5,319.74,319.05,319.72,319.06,319.74,319.05
1963.5833333333333,317.77,319.05,317.79,319.1,317.77,319.05
1963.6666666666667,316.21,319.14,316.2,319.14,316.21,319.14
1963.75,315.99,319.02,316.16,319.18,315.99,319.02
1963.8333333333333,317.07,318.97,317.35,319.23,317.07,318.97
1963.9166666666667,318.35,319.13,318.51,319.27,318.35,319.13
1964.0,319.57,319.54,319.36,319.32,319.57,319.54
1964.0833333333333,-99.99,-99.99,320.0,319.37,320.0,319.37
1964.1666666666667,-99.99,-99.99,320.75,319.41,320.75,319.41
1964.25,-99.99,-99.99,321.84,319.45,321.84,319.45
1964.3333333333333,322.26,319.41,322.34,319.49,322.26,319.41
1964.4166666666667,321.89,319.75,321.64,319.53,321.89,319.75
1964.5,320.44,319.77,320.2,319.56,320.44,319.77
1964.5833333333333,318.69,320.0,318.24,319.58,318.69,320.0
1964.6666666666667,316.7,319.65,316.64,319.6,316.7,319.65
1964.75,316.87,319.91,316.59,319.62,316.87,319.91
1964.8333333333333,317.68,319.58,317.76,319.64,317.68,319.58
1964.9166666666667,318.71,319.49,318.9,319.66,318.71,319.49
1965.0,319.44,319.41,319.73,319.69,319.44,319.41
1965.0833333333333,320.44,319.81,320.37,319.73,320.44,319.81
1965.1666666666667,320.89,319.58,321.09,319.77,320.89,319.58
1965.25,322.14,319.78,322.21,319.84,322.14,319.78
1965.3333333333333,322.17,319.31,322.77,319.91,322.17,319.31
1965.4166666666667,321.87,319.71,322.15,320.0,321.87,319.71
1965.5,321.21,320.51,320.77,320.1,321.21,320.51
1965.5833333333333,318.87,320.15,318.89,320.21,318.87,320.15
1965.6666666666667,317.81,320.76,317.36,320.33,317.81,320.76
1965.75,317.3,320.36,317.39,320.44,317.3,320.36
1965.8333333333333,318.87,320.78,318.66,320.55,318.87,320.78
1965.9166666666667,319.42,320.2,319.9,320.67,319.42,320.2
1966.0,320.62,320.59,320.83,320.79,320.62,320.59
1966.0833333333333,321.6,320.96,321.55,320.91,321.6,320.96
